Game,Date,Marci,Évi,Gyuri,Judit,Boti,Zsolt,Angi,Gábor,Szilvi,Ákos
Mission: Red Planet,2018-03-22,2,1,,,,,,3,,
Mission: Red Planet,2018-03-23,2,3,,,,4,,1,,
Ra,2018-03-23,3,,,,,1,,2,,
Ra,2018-03-23,2,,,,,3,,1,,
Tzolk'in,2018-03-24,2,4,3,,,1,,,,
Tzolk'in,2018-03-30,2,3,1,4,,,,,,
Tzolk'in,2018-03-31,1,2,,,,3,,4,,
Isle of Skye,2018-04-02,1,4,3,2,,,,,,
Isle of Skye,2018-04-02,1,4,3,2,,,,,,
Concordia,2018-04-05,3,4,1,2,,,,,,
Isle of Skye,2018-04-07,1,,3,,,2,,4,,
Ra,2018-04-07,4,,2,,,3,,1,,
Citadell,2018-04-14,4,3,2,1,,5,,,,
Citadell,2018-04-15,2,4,3,,,1,,,,
Citadell,2018-04-15,3,1,4,,,2,,,,
Ra,2018-04-22,2,,,,,3,,1,,
Citadell,2018-04-22,1,,2,,,3,,4,,
Citadell,2018-04-27,3,2,3,1,,5,,,,
Citadell,2018-04-27,4,1,4,3,,1,,,,
Concordia,2018-05-05,3,2,1,4,,,,,,
Tzolk'in,2018-05-06,2,3,4,,,1,,,,
Citadell,2018-05-11,5,3,2,,,1,,3,,
Isle of Skye,2018-05-11,4,,3,,,1,,2,,
Tzolk'in,2018-05-12,3,,1,,,2,,,,
Citadell,2018-05-19,3,5,4,,,1,,2,,
Citadell,2018-05-19,4,2,1,,,3,,4,,
Francis Drake,2018-06-01,1,4,5,,,2,,3,,
Cytosis,2018-06-15,1,2,3,4,,,,,,
Kingdoms,2018-06-16,3,,,,,1,,2,,
Ra,2018-06-16,1,,,,,2,,3,,
Ra,2018-06-29,3,1,,,,,,2,,
Cytosis,2018-06-29,3,2,,,,1,,4,,
Isle of Skye,2018-07-01,1,4,3,,,2,,,,
Concordia,2018-07-03,2,3,1,4,,5,,,,
7 Wonders,2018-07-04,4,2,3,1,,6,5,,,
Takenoko,2018-07-16,3,4,,,,1,,2,,
Ra,2018-07-16,4,1,,,,2,,3,,
7 Wonders,2018-07-18,5,2,,,,3,1,4,,
7 Wonders,2018-07-18,3,5,,,,2,1,4,,
Concordia,2018-07-20,2,3,1,4,,,,,,
Citadell,2018-07-22,3,2,5,,,1,,4,,
Isle of Skye,2018-07-22,2,,1,,,4,,3,,
Taj Mahal,2018-07-27,3,1f,,,,1,,3,,
Ra,2018-07-27,3,,,,,1,,2,,
Ra,2018-07-27,1,,,,,2,,3,,
Concordia,2018-07-28,4,5,2,3,,1,,,,
Francis Drake,2018-07-30,4,2,,,,1,,3,,
Ra,2018-07-30,1,4,,,,3,,2,,
Citadell,2018-08-06,2,3,6,3,,5,1f,,,
Citadell,2018-08-07,3,1,2,5,,6,4,,,
7 Wonders,2018-08-09,1,,,,,2,3,,,
Citadell,2018-08-10,2,4,5,1,,3,6,,,
Nyet,2018-08-20,2f,1f,,,,5f,3f,4f,,
Taj Mahal,2018-09-01,3,4,,,,1,,2,,
Kingdoms,2018-09-01,3,,,,,1,,2,,
Ra,2018-10-20,3,4,1,,,1,,,,
Concordia,2018-10-20,3,2,1,4,,,,,,
Ra,2018-10-20,3,,4,1,,2,,,,
Concordia,2018-10-21,2,,1,4,,3,,,,
Ra,2018-10-21,3,,4,1,,2,,,,
7 Wonders,2018-11-17,3,3,,,,1,,1,,
7 Wonders,2018-11-17,2,4,,,,1,,3,,
Mission: Red Planet,2018-11-26,1,3,,,,,,2,,
For Sale,2018-12-08,3,1,,,,,,2,,
For Sale,2018-12-08,1,2,,,,,,3,,
For Sale,2018-12-08,3,1,,,,,,2,,
7 Wonders,2018-12-08,3,2,,,,4,,1,,
Isle of Skye,2018-12-08,2,3,,,,1,,,,
Francis Drake,2018-12-21,2,1,,,,,,3,,
7 Wonders,2018-12-22,3,1,,,,,,2,,
7 Wonders,2018-12-22,2,1,,,,,,3,,
7 Wonders,2018-12-22,3,2,,,,,,1,,
Azul,2018-12-23,2f,1f,,,,,,3f,,
Azul,2018-12-23,3,1,,,,,,2,,
Azul,2018-12-27,4,2,,,,,,,1f,3f
Azul,2018-12-27,1,3,,,,,,,3,2
Azul,2018-12-27,3,2,,,,,,,1,4
Blokus,2018-12-27,3,4,,,,,,,2,1
Blokus,2018-12-27,2,1,,,,,,,3,4
Azul,2018-12-27,2,4,,,,,,,3,1
Azul,2018-12-28,1,3,,,,,,2,,
7 Wonders,2018-12-28,1,3,,,,,,2,,
Azul,2018-12-29,3,2,,1f,,,,,,
Azul,2018-12-29,3,1,,2,,,,,,
Azul,2018-12-29,1,,,2,,3f,,,,
Azul,2018-12-31,2,4,3,,,1,,,,
Azul,2018-12-31,4,3,1,,,2,,,,
Azul,2018-12-31,2,,1,3,,4,,,,
Concordia,2019-01-02,1,2,3,4,,,,,,
Azul,2019-01-02,2,,3,4,,1,,,,
7 Wonders,2019-01-02,1,4,3,5,,2,,,,
Azul,2019-01-03,2,3,1,,,1,,,,
7 Wonders,2019-01-04,2,3,1,4,,,,,,
7 Wonders,2019-01-04,1,3,2,4,,,,,,
Azul,2019-01-04,3,1,2,4,,,,,,
Isle of Skye,2019-01-04,3,4,1,5,,2,,,,
Concordia,2019-01-04,2,5,1,4,,3,,,,
Imhotep,2019-02-28,2f,1f,,,,,,3f,,
Imhotep,2019-02-28,1,2,,,,,,3,,
Imhotep,2019-03-01,1,3,,,,2f,,4,,
Imhotep,2019-03-01,1,3,,,,2,,4,,
Imhotep,2019-03-02,1,2,3f,,,,,,,
Imhotep,2019-03-02,3,4,1,,,2,,,,
Imhotep,2019-03-02,2,3,4,,,1,,,,
Imhotep,2019-03-09,1,2,4,3f,,,,,,
Imhotep,2019-03-09,4,1,2,3,,,,,,
Imhotep,2019-03-09,1,2,4,3,,,,,,
Azul,2019-03-16,2,3,,,,1,,4,,
Kingdoms,2019-03-16,3,,,,,1,,2,,
Ra,2019-03-16,2,,,,,3,,1,,
7 Wonders,2019-03-30,1,4,,,,2,,3,,
Imhotep,2019-03-30,1,3,,,,2,,4,,
Medici,2019-04-19,1,3,,,,,,2,,
Azul,2019-04-19,3,1,,,,,,2,,
Azul,2019-04-20,2,1,,,,3,4,,,
Sheriff of Nottingham,2019-04-21,4f,1f,,,,2f,3f,,,
Tzolk'in,2019-04-28,1,2,,,,3,,4,,
Sheriff of Nottingham,2019-04-30,2,3,,,,4,,1,,
Jorvik,2019-06-25,2f,1f,,,,,,3f,,
Jorvik,2019-06-26,2,3,,,,4f,,1,,
Jorvik,2019-07-02,5,3,3f,,,2,1f,,,
Jorvik,2019-07-02,3,4,1,,,2,,,,
